bed_id,ward_id,bed_number,status,is_isolation_capable
BED-AMU-01,WARD-AMU,01,Occupied,True
BED-AMU-02,WARD-AMU,02,Available,True
BED-AMU-03,WARD-AMU,03,Occupied,False
BED-AMU-04,WARD-AMU,04,OCCUPIED,False
BED-AMU-05,WARD-AMU,05,Occupied,False
BED-AMU-06,WARD-AMU,06,Available,False
BED-AMU-07,WARD-AMU,07,Occupied,False
BED-AMU-08,WARD-AMU,08,Occupied,False
BED-AMU-09,WARD-AMU,09,Occupied,False
BED-AMU-10,WARD-AMU,10,Occupied,False
BED-AMU-11,WARD-AMU,11,Available,False
BED-AMU-12,WARD-AMU,12,Occupied,False
BED-AMU-13,WARD-AMU,13,Available,False
BED-AMU-14,WARD-AMU,14,Occupied,False
BED-AMU-15,WARD-AMU,15,Occupied,False
BED-AMU-16,WARD-AMU,16,Occupied,False
BED-AMU-17,WARD-AMU,17,Occupied,False
BED-AMU-18,WARD-AMU,18,Occupied,False
BED-AMU-19,WARD-AMU,19,Occupied,False
BED-AMU-20,WARD-AMU,20,Occupied,False
BED-AMU-21,WARD-AMU,21,Occupied,False
BED-AMU-22,WARD-AMU,22,Occupied,False
BED-AMU-23,WARD-AMU,23,Occupied,False
BED-AMU-24,WARD-AMU,24,Occupied,False
BED-TRAUMA-01,WARD-TRAUMA,01,Available,True
BED-TRAUMA-02,WARD-TRAUMA,02,Occupied,True
BED-TRAUMA-03,WARD-TRAUMA,03,Available,False
BED-TRAUMA-04,WARD-TRAUMA,04,Occupied,False
BED-TRAUMA-05,WARD-TRAUMA,05,Available,False
BED-TRAUMA-06,WARD-TRAUMA,06,Occupied,False
BED-TRAUMA-07,WARD-TRAUMA,07,Occupied,False
BED-TRAUMA-08,WARD-TRAUMA,08,Occupied,False
BED-TRAUMA-09,WARD-TRAUMA,09,Occupied,False
BED-TRAUMA-10,WARD-TRAUMA,10,Occupied,False
BED-TRAUMA-11,WARD-TRAUMA,11,Occupied,False
BED-TRAUMA-12,WARD-TRAUMA,12,Occupied,False
BED-TRAUMA-13,WARD-TRAUMA,13,Occupied,False
BED-TRAUMA-14,WARD-TRAUMA,14,Maintenance,False
BED-TRAUMA-15,WARD-TRAUMA,15,Occupied,False
BED-TRAUMA-14,WARD-TRAUMA,14,Maintenance,False
BED-TRAUMA-16,WARD-TRAUMA,16,Occupied,False
BED-TRAUMA-17,WARD-TRAUMA,17,Cleaning,False
BED-TRAUMA-18,WARD-TRAUMA,18,Occupied,False
BED-TRAUMA-19,WARD-TRAUMA,19,Occupied,False
BED-TRAUMA-20,WARD-TRAUMA,20,Available,False
BED-SURG-M-01,WARD-SURG-M,01,Occupied,True
BED-SURG-M-02,WARD-SURG-M,02,Available,True
BED-SURG-M-03,WARD-SURG-M,03,Available,False
BED-SURG-M-04,WARD-SURG-M,04,Cleaning,False
BED-SURG-M-05,WARD-SURG-M,05,Occupied,False
BED-SURG-M-06,WARD-SURG-M,06,Occupied,False
BED-SURG-M-07,WARD-SURG-M,07,Occupied,False
,WARD-SURG-M,08,Available,False
BED-SURG-M-09,WARD-SURG-M,09,Occupied,False
BED-SURG-M-10,WARD-SURG-M,10,Occupied,False
BED-SURG-M-11,WARD-SURG-M,11,OCCUPIED,False
BED-SURG-M-12,WARD-SURG-M,12,Occupied,False
BED-SURG-M-13,WARD-SURG-M,13,Occupied,False
BED-SURG-M-14,WARD-SURG-M,14,Available,False
BED-SURG-M-15,WARD-SURG-M,15,Available,False
BED-SURG-M-16,WARD-SURG-M,16,OCCUPIED,False
BED-SURG-M-17,WARD-SURG-M,17,Occupied,False
BED-SURG-M-18,WARD-SURG-M,18,Cleaning,False
BED-SURG-F-01,WARD-SURG-F,01,Available,True
BED-SURG-F-02,WARD-SURG-F,02,Maintenance,True
BED-SURG-F-03,WARD-SURG-F,03,OCCUPIED,False
BED-SURG-F-04,WARD-SURG-F,04,Occupied,False
BED-SURG-F-05,WARD-SURG-F,05,Available,False
BED-SURG-F-06,WARD-SURG-F,06,Maintenance,False
BED-SURG-F-07,WARD-SURG-F,07,Occupied,False
BED-SURG-F-08,WARD-SURG-F,08,Occupied,False
BED-SURG-F-09,WARD-SURG-F,09,Cleaning,False
BED-SURG-F-10,WARD-SURG-F,10,Available,False
BED-SURG-F-11,WARD-SURG-F,11,Cleaning,False
BED-SURG-F-12,WARD-SURG-F,12,Available,False
BED-SURG-F-13,WARD-SURG-F,13,Occupied,False
BED-SURG-F-14,WARD-SURG-F,14,Cleaning,False
BED-SURG-F-15,WARD-SURG-F,15,Maintenance,False
BED-SURG-F-16,WARD-SURG-F,16,Occupied,False
BED-SURG-F-17,WARD-SURG-F,17,Occupied,False
BED-SURG-F-18,WARD-SURG-F,18,Cleaning,False
BED-CARD-01,WARD-CARD,01,Available,True
BED-CARD-02,WARD-CARD,02,occupied,True
BED-CARD-03,WARD-CARD,03,Occupied,False
BED-CARD-04,WARD-CARD,04,Occupied,False
BED-CARD-05,WARD-CARD,05,Occupied,False
BED-CARD-06,WARD-CARD,06,Occupied,False
BED-CARD-07,WARD-CARD,07,Occupied,False
BED-CARD-08,WARD-CARD,08,Occupied,False
BED-CARD-09,WARD-CARD,09,Occupied,False
BED-CARD-10,WARD-CARD,10,Occupied,False
BED-CARD-11,WARD-CARD,11,Occupied,False
BED-CARD-12,WARD-CARD,12,Occupied,False
BED-EAU-01,WARD-EAU,01,Occupied,True
BED-EAU-02,WARD-EAU,02,Occupied,True
BED-EAU-03,WARD-EAU,03,Maintenance,False
BED-EAU-04,WARD-EAU,04,Occupied,False
BED-EAU-05,WARD-EAU,05,Available,False
BED-EAU-06,WARD-EAU,06,OCCUPIED,False
BED-EAU-07,WARD-EAU,07,Available,False
BED-EAU-08,WARD-EAU,08,Occupied,False
BED-EAU-09,WARD-EAU,09,Occupied,False
BED-EAU-10,WARD-EAU,10,occupied,False
BED-EAU-11,WARD-EAU,11,Available,False
BED-EAU-12,WARD-EAU,12,AVAILABLE,False
BED-EAU-13,WARD-EAU,13,Available,False
,WARD-EAU,14,Available,False
BED-EAU-15,WARD-EAU,15,Maintenance,False
BED-EAU-16,WARD-EAU,16,Occupied,False
